"﻿ORDER_NO";"SCHEDULE_ID";"BUILD_TYPE";"BUILD_SEQ";"PREV_BUILD_SEQ";"NEXT_BUILD_SEQ";"PANE";"COMP";"QTY";"WEIGHT";"MAT_ID";"GLASS_NAME";"STEP_NO";"NEXT_STEP_NO";"PREV_STEP_NO";"STEP_NAME";"PLAN_SEQ";"PLANNED_MACHINE";"WTIME";"CYCLE_TIME";"SCHEDULED_DATE";"PLANNED_SHIFT"
2578713;449736;2;2;0;1;1;0;10;293;32056;"6 Energy Light T on КРИСТАЛВИЖН зак";21001;25000;1110;"МО Обработка кромки";25;2203;0.4;4;"22.11.2023";1
2578713;449736;2;2;0;1;1;0;10;293;32056;"6 Energy Light T on КРИСТАЛВИЖН зак";25000;"";21001;"Термообработка";34;2520;0.311;5;"22.11.2023";2
2578713;449736;2;3;0;1;2;0;10;293;24406;"6 Crystalvision Planibel зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1001;0.609;4;"21.11.2023";2
2578713;449736;2;3;0;1;2;0;10;293;24406;"6 Crystalvision Planibel зак";21001;25000;1110;"МО Обработка кромки";25;2203;0.4;4;"22.11.2023";1
2578713;449736;2;3;0;1;2;0;10;293;24406;"6 Crystalvision Planibel зак";25000;"";21001;"Термообработка";34;2530;0.288;5;"22.11.2023";2
2578713;449736;2;4;0;1;3;0;10;293;33946;"6 Top NT on КРИСТАЛВИЖН Зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1000;0.609;4;"21.11.2023";2
2578713;449736;2;4;0;1;3;0;10;293;33946;"6 Top NT on КРИСТАЛВИЖН Зак";21001;25000;1110;"МО Обработка кромки";25;2203;0.4;4;"22.11.2023";1
2578713;449736;2;4;0;1;3;0;10;293;33946;"6 Top NT on КРИСТАЛВИЖН Зак";25000;"";21001;"Термообработка";34;2540;0.311;5;"22.11.2023";2
2578713;449736;3;5;0;1;0;1;10;0;2518;"";40000;"";"";"Гнутье рамки";47;4000;0.244;0.24;"22.11.2023";2
2578713;449736;3;6;0;1;0;2;10;0;2526;"";40000;"";"";"Гнутье рамки";47;4000;0.244;0.24;"22.11.2023";2
2578713;449740;1;1;2;0;0;0;3;379;"";"";50000;50003;"";"Сборка специальных с\п";49;5051;0.43;5;"24.11.2023";1
