CALENDAR_NR;C_DATE;C_SHIFT;CALENDAR
1028;12.02.2024;1;11,98
1028;12.02.2024;2;0
1028;13.02.2024;1;11,98
1028;13.02.2024;2;0
1028;14.02.2024;1;11,98
1028;14.02.2024;2;0
1028;15.02.2024;1;11,98
1028;15.02.2024;2;0
1028;16.02.2024;1;11,98
1028;16.02.2024;2;0
1028;17.02.2024;1;11,98
1028;17.02.2024;2;0
1028;18.02.2024;1;11,98
1028;18.02.2024;2;0
1028;19.02.2024;1;11,98
1028;19.02.2024;2;0
1028;20.02.2024;1;11,98
1028;20.02.2024;2;0
1028;21.02.2024;1;11,98
1028;21.02.2024;2;0
1028;22.02.2024;1;11,98
1028;22.02.2024;2;0
1028;23.02.2024;1;11,98
1028;23.02.2024;2;0
1028;24.02.2024;1;11,98
1028;24.02.2024;2;0
1028;25.02.2024;1;11,98
1028;25.02.2024;2;0
1028;26.02.2024;1;11,98
1028;26.02.2024;2;0
1028;27.02.2024;1;11,98
1028;27.02.2024;2;0
1028;28.02.2024;1;11,98
1028;28.02.2024;2;0
1038;01.11.2023;1;11,98
1038;01.11.2023;2;0
1038;02.11.2023;1;11,98
1038;02.11.2023;2;0
1038;03.11.2023;1;11,98
1038;03.11.2023;2;0
1038;04.11.2023;1;11,98
1038;04.11.2023;2;0
1038;05.11.2023;1;11,98
1038;05.11.2023;2;0
1038;06.11.2023;1;11,98
1038;06.11.2023;2;0
1038;07.11.2023;1;11,98
1038;07.11.2023;2;0
1038;08.11.2023;1;11,98
1038;08.11.2023;2;0
1038;09.11.2023;1;11,98
1038;09.11.2023;2;0
1038;10.11.2023;1;11,98
1038;10.11.2023;2;0
1038;11.11.2023;1;11,98
1038;11.11.2023;2;0
1038;12.11.2023;1;11,98
1038;12.11.2023;2;0
1038;13.11.2023;1;11,98
1038;13.11.2023;2;0
1038;14.11.2023;1;11,98
1038;14.11.2023;2;0
1038;15.11.2023;1;11,98
1038;15.11.2023;2;0
1038;16.11.2023;1;11,98
1038;16.11.2023;2;0
1038;17.11.2023;1;11,98
1038;17.11.2023;2;0
1038;18.11.2023;1;11,98
1038;18.11.2023;2;0
1038;19.11.2023;1;11,98
1038;19.11.2023;2;0
1038;20.11.2023;1;11,98
1038;20.11.2023;2;0
1038;21.11.2023;1;11,98
1038;21.11.2023;2;0
1038;22.11.2023;1;11,98
1038;22.11.2023;2;0
1038;23.11.2023;1;11,98
1038;23.11.2023;2;0
1038;24.11.2023;1;11,98
1038;24.11.2023;2;0
1038;25.11.2023;1;11,98
1038;25.11.2023;2;0
1038;26.11.2023;1;11,98
1038;26.11.2023;2;0
1038;27.11.2023;1;11,98
1038;27.11.2023;2;0
1038;28.11.2023;1;11,98
1038;28.11.2023;2;0
1038;29.11.2023;1;11,98
1038;29.11.2023;2;0
1038;30.11.2023;1;11,98
1038;30.11.2023;2;0
1038;01.12.2023;1;11,98
1038;01.12.2023;2;0
1038;02.12.2023;1;11,98
1038;02.12.2023;2;0
1038;03.12.2023;1;11,98
1038;03.12.2023;2;0
1038;04.12.2023;1;11,98
1038;04.12.2023;2;0
1038;05.12.2023;1;11,98
1038;05.12.2023;2;0
1038;06.12.2023;1;11,98
1038;06.12.2023;2;0
1038;07.12.2023;1;11,98
1038;07.12.2023;2;0
1038;08.12.2023;1;11,98
1038;08.12.2023;2;0
1038;09.12.2023;1;11,98
1038;09.12.2023;2;0
1038;10.12.2023;1;11,98
1038;10.12.2023;2;0
1038;11.12.2023;1;11,98
1038;11.12.2023;2;0
1038;12.12.2023;1;11,98
